Last Name,First Name,Position,G,A,HT,Salary,Points,PPM,Injured?,,,refNum
Weber,Shea,D,17,25,0," $12,000,000.00 ",59,4.91666666666667,No,No,Kerdiles,001
Subban,P.K.,D,10,30,0," $11,000,000.00 ",50,4.54545454545455,No,No,Lindholm,002
Suter,Ryan,D,9,31,0," $9,000,000.00 ",49,5.44444444444444,No,No,Kesler,003
Seabrook,Brent,D,3,36,0," $9,000,000.00 ",42,4.66666666666667,No,No,Vatanen,004
Byfuglien,Dustin,D/RW,13,39,0," $8,000,000.00 ",65,8.125,No,No,Coyotes,005
Yandle,Keith,D,5,36,0," $7,500,000.00 ",46,6.13333333333333,No,No,Chychrun,006
Phaneuf,Dion,D,9,21,0," $7,500,000.00 ",39,5.2,No,No,Bolland,007
Doughty,Drew,D,12,32,0," $7,450,000.00 ",56,7.51677852348993,No,No,Bruins,008
Letang,Kris,D,5,29,0," $7,250,000.00 ",39,5.37931034482759,No,No,Beleskey,009
Karlsson,Erik,D,17,54,0," $7,000,000.00 ",88,12.5714285714286,No,Yes,Forsbacka-Karlsson,010
Pietrangelo,Alex,D,14,34,0," $7,000,000.00 ",62,8.85714285714286,No,No,Cehlarik,011
Petry,Jeff,D,8,20,0," $7,000,000.00 ",36,5.14285714285714,No,No,Krug,012
Boychuk,Johnny,D,6,17,0," $7,000,000.00 ",29,4.14285714285714,No,No,Sabres,013
Giordano,Mark,D,12,27,0," $6,750,000.00 ",51,7.55555555555556,No,No,Malone,014
Sekera,Andrej,D,8,27,0," $6,500,000.00 ",43,6.61538461538462,No,No,Nylander,015
Keith,Duncan,D,6,47,0," $6,000,000.00 ",59,9.83333333333333,No,No,Flames,016
Ekman-Larsson,Oliver,D,12,27,0," $6,000,000.00 ",51,8.5,No,No,Tkachuk,017
Green,Mike,D,14,22,1," $6,000,000.00 ",51,8.5,Yes,No,Hurricanes,018
Edler,Alex,D,6,15,0," $6,000,000.00 ",27,4.5,No,No,Darling,019
Wideman,Dennis,D,5,13,0," $6,000,000.00 ",23,3.83333333333333,No,No,Stempniak,020
Girardi,Dan,D,4,11,0," $6,000,000.00 ",19,3.16666666666667,No,No,Blackhawks,021
Johnson,Erik,D,2,15,0," $6,000,000.00 ",19,3.16666666666667,No,No,Hossa,022
Staal,Marc,D,3,7,0," $6,000,000.00 ",13,2.16666666666667,No,No,Rozsival,023
Burns,Brent,D/RW,29,47,0," $5,760,000.00 ",105,18.2291666666667,No,No,Blue,024
Niskanen,Matt,D,5,34,0," $5,750,000.00 ",44,7.65217391304348,No,No,Jenner,025
Enstrom,Tobias,D,1,13,0," $5,750,000.00 ",15,2.60869565217391,No,No,Dubinsky,026
Bouwmeester,Jay,D,1,14,0," $5,600,000.00 ",16,2.85714285714286,No,Yes,Avalanche,027
Hamilton,Dougie,D,13,37,0," $5,500,000.00 ",63,11.4545454545455,No,No,Jost,028
Faulk,Justin,D,17,20,0," $5,500,000.00 ",54,9.81818181818182,No,No,Stars,029
Demers,Jason,D,9,19,0," $5,500,000.00 ",37,6.72727272727273,No,No,Hanzal,030
Kronwall,Niklas,D,2,11,0," $5,500,000.00 ",15,2.72727272727273,No,Yes,Red,031
Orpik,Brooks,D,0,14,0," $5,500,000.00 ",14,2.54545454545455,No,No,Abdelkader,032
Jones,Seth,D,12,30,0," $5,400,000.00 ",54,10,Yes,No,Kronwall,033
Ristolainen,Rasmus,D,6,39,0," $5,400,000.00 ",51,9.44444444444444,No,No,Sproul,034
Goligoski,Alex,D,6,30,0," $5,375,000.00 ",42,7.81395348837209,No,No,Franzen,035
Bogosian,Zach,D,2,9,0," $5,250,000.00 ",13,2.47619047619048,No,No,Panthers,036
Shattenkirk,Kevin,D,13,43,0," $5,200,000.00 ",69,13.2692307692308,No,No,Trocheck,037
Krug,Torey,D,8,43,0," $5,000,000.00 ",59,11.8,No,Yes,Angeles,038
McDonagh,Ryan,D,6,36,0," $5,000,000.00 ",48,9.6,No,No,Gaborik,039
Barrie,Tyson,D,7,31,0," $5,000,000.00 ",45,9,No,No,Wild,040
Chara,Zdeno,D,9,19,0," $5,000,000.00 ",37,7.4,No,No,Parise,041
Rielly,Morgan,D,6,21,0," $5,000,000.00 ",33,6.6,No,No,Canadiens,042
Martin,Paul,D,4,22,0," $5,000,000.00 ",30,6,No,No,Shaw,043
Johnson,Jack,D,5,18,0," $5,000,000.00 ",28,5.6,No,No,Juulsen,044
Vatanen,Sami,D,3,21,0," $5,000,000.00 ",27,5.4,No,Yes,Schlemko,045
Greene,Andy,D,4,9,0," $5,000,000.00 ",17,3.4,No,No,Predators,046
Methot,Marc,D,0,12,0," $4,900,000.00 ",12,2.44897959183673,No,No,Ellis,047
Hamonic,Travis,D,3,11,0," $4,875,000.00 ",17,3.48717948717949,No,No,Jersey,048
Brodie,T.J.,D,6,30,0," $4,838,000.00 ",42,8.6812732534105,No,No,Boyle,049
MacDonald,Andrew,D,2,16,0," $4,750,000.00 ",20,4.21052631578947,No,No,Zajac,050
Leddy,Nick,D,11,35,0," $4,500,000.00 ",57,12.6666666666667,No,No,York,051
Stralman,Anton,D,5,17,0," $4,500,000.00 ",27,6,No,Yes,Quine,052
Beauchemin,Francois,D,5,13,0," $4,500,000.00 ",23,5.11111111111111,No,No,York,053
Hamhuis,Dan,D,1,15,0," $4,500,000.00 ",17,3.77777777777778,No,No,Fast,054
Kulikov,Dmitry,D,2,3,0," $4,500,000.00 ",7,1.55555555555556,No,No,Senators,055
Hedman,Victor,D,16,56,0," $4,250,000.00 ",88,20.7058823529412,No,No,White,056
Josi,Roman,D,12,37,0," $4,250,000.00 ",61,14.3529411764706,No,No,Dzingel,057
Spurgeon,Jared,D,10,28,0," $4,250,000.00 ",48,11.2941176470588,No,No,MacArthur,058
Markov,Andrei,D,6,30,0," $4,250,000.00 ",42,9.88235294117647,No,No,Brassard,059
Vlasic,Marc-Edouard,D,6,22,0," $4,250,000.00 ",34,8,No,No,Karlsson,060
Ericsson,Jonathan,D,1,8,0," $4,250,000.00 ",10,2.35294117647059,No,No,Flyers,061
Emelin,Alexei,D,2,8,0," $4,200,000.00 ",12,2.85714285714286,No,No,Stolarz,062
Hjalmarsson,Niklas,D,5,13,0," $4,100,000.00 ",23,5.60975609756098,No,No,Penguins,063
Maatta,Olli,D,1,6,0," $4,083,300.00 ",8,1.95919966693606,No,No,Hornqvist,064
Gardiner,Jake,D,9,34,0," $4,050,000.00 ",52,12.8395061728395,No,No,Louis,065
Fowler,Cam,D,11,28,0," $4,000,000.00 ",50,12.5,No,No,Steen,066
Carlson,John,D,9,28,0," $4,000,000.00 ",46,11.5,No,No,Bouwmeester,067
Muzzin,Jake,D,9,19,0," $4,000,000.00 ",37,9.25,No,No,Sanford,068
Streit,Mark,D,6,21,0," $4,000,000.00 ",33,8.25,No,No,Berglund,069
Gudas,Radko,D,6,17,0," $4,000,000.00 ",29,7.25,No,No,Bay,070
Brodin,Jonas,D,3,22,0," $4,000,000.00 ",28,7,No,No,Stralman,071
Del Zotto,Michael,D,6,12,0," $4,000,000.00 ",24,6,Yes,No,Maple,072
Stone,Michael,D,3,12,0," $4,000,000.00 ",18,4.5,No,No,Lupul,073
Bieksa,Kevin,D,3,11,0," $4,000,000.00 ",17,4.25,No,No,Horton,074
DeKeyser,Danny,D,4,8,0," $4,000,000.00 ",16,4,No,No,Canucks,075
Myers,Tyler,D,2,3,0," $4,000,000.00 ",7,1.75,No,No,Gaunce,076
Martinez,Alec,D,9,30,0," $3,900,000.00 ",48,12.3076923076923,No,No,Golden,077
Gorges,Josh,D,1,5,0," $3,900,000.00 ",7,1.7948717948718,No,No,Neal,078
Braun,Justin,D,4,9,0," $3,800,000.00 ",17,4.47368421052632,Yes,No,Clarkson,079
Scandella,Marco,D,4,9,0," $3,750,000.00 ",17,4.53333333333333,No,No,Grabovski,080
Oduya,Johnny,D,2,7,0," $3,750,000.00 ",11,2.93333333333333,No,No,,081
Coburn,Braydon,D,5,7,0," $3,700,000.00 ",17,4.5945945945946,No,No,,082
Sbisa,Luca,D,2,11,0," $3,600,000.00 ",15,4.16666666666667,No,No,,083
Garrison,Jason,D,1,8,0," $3,600,000.00 ",10,2.77777777777778,No,No,,084
Savard,David,D,6,17,0," $3,500,000.00 ",29,8.28571428571429,No,No,,085
Tanev,Chris,D,2,8,0," $3,500,000.00 ",12,3.42857142857143,No,No,,086
Gudbranson,Erik,D,1,5,0," $3,500,000.00 ",7,2,No,No,,087
Fayne,Mark,D,0,2,0," $3,500,000.00 ",2,0.571428571428571,Yes,No,,088
Smith,Brendan,D,3,6,0," $3,250,000.00 ",12,3.69230769230769,No,No,,089
Stoner,Clayton,D,1,2,0," $3,250,000.00 ",4,1.23076923076923,No,No,,090
Michalek,Zbynek,D,0,0,0," $3,200,000.00 ",0,0,No,No,,091
Russell,Kris,D,1,12,0," $3,100,000.00 ",14,4.51612903225806,No,No,,092
Klefbom,Oscar,D,12,26,0," $3,000,000.00 ",50,16.6666666666667,No,No,,093
Ekholm,Mattias,D,3,20,0," $3,000,000.00 ",26,8.66666666666667,No,No,,094
Lindholm,Hampus,D,6,14,0," $3,000,000.00 ",26,8.66666666666667,No,Yes,,095
Larsson,Adam,D,4,15,0," $3,000,000.00 ",23,7.66666666666667,No,No,,096
Mcquaid,Adam,D,2,8,0," $3,000,000.00 ",12,4,No,No,,097
Kindl,Jakub,D,0,4,0," $3,000,000.00 ",4,1.33333333333333,No,No,,098
de Haan,Calvin,D,5,20,0," $2,900,000.00 ",30,10.3448275862069,No,No,,099
Gunnarsson,Carl,D,0,6,0," $2,900,000.00 ",6,2.06896551724138,No,No,,100
Murray,Ryan,D,2,9,0," $2,825,000.00 ",13,4.60176991150443,No,No,,101
Alzner,Karl,D,3,10,0," $2,800,000.00 ",16,5.71428571428571,No,No,,102
Klingberg,John,D,13,36,0," $2,750,000.00 ",62,22.5454545454545,No,No,,103
Engelland,Deryk,D,4,12,0," $2,750,000.00 ",20,7.27272727272727,No,No,,104
Klein,Kevin,D,3,11,0," $2,750,000.00 ",17,6.18181818181818,No,No,,105
Dillon,Brenden,D,2,8,0," $2,750,000.00 ",12,4.36363636363636,No,No,,106
Daley,Trevor,D,5,14,0," $2,700,000.00 ",24,8.88888888888889,No,No,,107
