Last Name,First Name,Position,G,A,HT,Salary,Points,PPM,Injured?,,,refNum
Kopitar,Anze,C,12,40,0," $14,000,000.00 ",64,4.57142857142857,No,No,Kerdiles,001
Kane,Patrick,RW/C,34,55,1," $13,800,000.00 ",124,8.98550724637681,No,No,Lindholm,002
Toews,Jonathan,C,21,37,1," $13,800,000.00 ",80,5.79710144927536,No,No,Kesler,003
O'Reilly,Ryan,C/LW/RW,20,35,0," $11,000,000.00 ",75,6.81818181818182,No,No,Vatanen,004
Crosby,Sidney,C,44,45,1," $10,900,000.00 ",134,12.2935779816514,No,No,Coyotes,005
Ovechkin,Alex,LW/RW,33,36,1," $10,000,000.00 ",103,10.3,No,No,Chychrun,006
Voracek,Jakub,RW,20,41,0," $10,000,000.00 ",81,8.1,No,No,Bolland,007
Perry,Corey,RW,19,34,0," $10,000,000.00 ",72,7.2,No,No,Bruins,008
Malkin,Evgeni,C/RW,33,39,1," $9,500,000.00 ",106,11.1578947368421,No,No,Beleskey,009
Stamkos,Steven,C,9,11,0," $9,500,000.00 ",29,3.05263157894737,No,No,Forsbacka-Karlsson,010
Getzlaf,Ryan,C,15,58,0," $9,250,000.00 ",88,9.51351351351351,No,No,Cehlarik,011
Kessel,Phil,RW/C,23,47,0," $9,000,000.00 ",93,10.3333333333333,Yes,No,Krug,012
Giroux,Claude,C/RW,14,44,0," $9,000,000.00 ",72,8,No,No,Sabres,013
Parise,Zach,LW,19,23,0," $9,000,000.00 ",61,6.77777777777778,No,Yes,Malone,014
Bergeron,Patrice,C,21,32,0," $8,750,000.00 ",74,8.45714285714286,No,No,Nylander,015
Tarasenko,Vladimir,RW,39,36,1," $8,000,000.00 ",115,14.375,No,No,Flames,016
Lucic,Milan,LW,23,27,1," $8,000,000.00 ",74,9.25,No,No,Tkachuk,017
Stepan,Derek,C,17,38,0," $8,000,000.00 ",72,9,No,No,Hurricanes,018
Byfuglien,Dustin,D/RW,13,39,0," $8,000,000.00 ",65,8.125,No,No,Darling,019
Okposo,Kyle,RW,19,26,0," $8,000,000.00 ",64,8,No,No,Stempniak,020
Nash,Rick,RW/LW,23,15,0," $8,000,000.00 ",61,7.625,No,No,Blackhawks,021
Backes,David,RW/C,17,21,0," $8,000,000.00 ",55,6.875,No,No,Hossa,022
Ladd,Andrew,LW,23,8,0," $8,000,000.00 ",54,6.75,No,No,Rozsival,023
Eriksson,Loui,LW/C,11,13,0," $8,000,000.00 ",35,4.375,No,No,Blue,024
Kesler,Ryan,C/RW,22,36,1," $7,875,000.00 ",81,10.2857142857143,No,Yes,Jenner,025
Zetterberg,Henrik,LW/C,17,51,0," $7,500,000.00 ",85,11.3333333333333,No,No,Dubinsky,026
Spezza,Jason,C,15,35,0," $7,500,000.00 ",65,8.66666666666667,No,No,Avalanche,027
Krejci,David,C,23,31,0," $7,250,000.00 ",77,10.6206896551724,No,No,Jost,028
Backstrom,Nicklas,C,23,63,0," $7,000,000.00 ",109,15.5714285714286,No,No,Stars,029
Carter,Jeff,C/RW,32,34,0," $7,000,000.00 ",98,14,No,No,Hanzal,030
Sedin,Henrik,C,15,35,0," $7,000,000.00 ",65,9.28571428571429,Yes,No,Red,031
Sedin,Daniel,LW,15,29,0," $7,000,000.00 ",59,8.42857142857143,No,No,Abdelkader,032
Stastny,Paul,C,18,22,0," $7,000,000.00 ",58,8.28571428571429,No,No,Kronwall,033
Brown,Dustin,RW/LW,14,22,0," $7,000,000.00 ",50,7.14285714285714,No,No,Sproul,034
Plekanec,Tomas,C,10,18,0," $7,000,000.00 ",38,5.42857142857143,Yes,No,Franzen,035
Ryan,Bobby,RW/LW,13,12,0," $7,000,000.00 ",38,5.42857142857143,No,No,Panthers,036
Gaudreau,Johnny,LW,18,43,0," $6,750,000.00 ",79,11.7037037037037,No,No,Trocheck,037
Thornton,Joe,C,7,43,0," $6,750,000.00 ",57,8.44444444444444,No,No,Angeles,038
Monahan,Sean,C,27,31,0," $6,500,000.00 ",85,13.0769230769231,No,No,Gaborik,039
Marleau,Patrick,LW/C,27,19,1," $6,500,000.00 ",74,11.3846153846154,No,No,Wild,040
