Last Name,First Name,W,OTL,SO,G,A,Salary,Points,PPM,Injured?,,,refNum
Lundqvist,Henrik,31,4,2,0,1," $9,500,000.00 ",70,7.36842105263158,No,,,001
Bobrovsky,Sergei,41,5,7,0,0," $8,500,000.00 ",94,11.0588235294118,No,,,002
Rask,Tuukka,37,5,8,0,2," $7,500,000.00 ",91,12.1333333333333,No,,,003
Holtby,Braden,42,6,9,0,0," $7,000,000.00 ",99,14.1428571428571,No,,,004
Price,Carey,37,5,3,0,1," $7,000,000.00 ",84,12,Yes,,,005
Rinne,Pekka,31,9,3,0,0," $7,000,000.00 ",74,10.5714285714286,No,,,006
Quick,Jonathan,8,2,2,0,0," $7,000,000.00 ",20,2.85714285714286,No,,,007
Luongo,Roberto,17,6,1,0,1," $6,714,000.00 ",43,6.40452785224903,No,,,008
Smith,Mike,19,9,3,0,0," $6,500,000.00 ",50,7.69230769230769,No,,,009
Crawford,Corey,32,4,2,0,1," $6,000,000.00 ",72,12,No,,,010
Lehtonen,Kari,22,7,3,0,1," $6,000,000.00 ",56,9.33333333333333,No,,,011
Schneider,Cory,20,11,2,0,0," $6,000,000.00 ",53,8.83333333333333,No,,,012
Miller,Ryan,18,6,3,0,1," $6,000,000.00 ",47,7.83333333333333,No,,,013
Varlamov,Semyon,6,0,1,0,1," $6,000,000.00 ",15,2.5,No,,,014
Bishop,Ben,18,5,1,0,0," $5,950,000.00 ",42,7.05882352941176,No,,,015
Fleury,Marc-Andre,18,7,1,0,0," $5,750,000.00 ",44,7.65217391304348,No,,,016
Howard,Jimmy,10,1,1,0,0," $5,500,000.00 ",22,4,No,,,017
Dubnyk,Devan,40,5,5,0,0," $5,000,000.00 ",90,18,No,,,018
Andersen,Frederik,33,14,4,0,1," $5,000,000.00 ",86,17.2,No,,,019
Anderson,Craig,25,4,5,0,1," $4,750,000.00 ",61,12.8421052631579,No,,,020
Halak,Jaroslav,12,5,2,0,1," $4,750,000.00 ",33,6.94736842105263,No,,,021
Pavelec,Ondrej,4,0,0,0,0," $4,750,000.00 ",8,1.68421052631579,No,,,022
Reimer,James,18,5,3,0,0," $4,500,000.00 ",44,9.77777777777778,No,,,023
Niemi,Antti,12,4,0,0,0," $4,500,000.00 ",28,6.22222222222222,No,,,024
Talbot,Cam,42,8,7,0,0," $4,150,000.00 ",99,23.855421686747,No,,,025
Bernier,Jonathan,21,4,2,0,0," $4,150,000.00 ",48,11.566265060241,No,,,026
Mason,Steve,26,8,3,0,1," $4,100,000.00 ",65,15.8536585365854,No,,,027
Mrazek,Petr,18,9,1,0,0," $3,850,000.00 ",46,11.9480519480519,No,,,028
Ward,Cam,26,12,2,0,1," $3,500,000.00 ",68,19.4285714285714,No,,,029
Lehner,Robin,23,8,2,0,1," $3,150,000.00 ",58,18.4126984126984,No,,,030
Jones,Martin,35,6,2,0,0," $3,000,000.00 ",78,26,No,,,031
Elliott,Brian,26,3,2,0,0," $2,700,000.00 ",57,21.1111111111111,No,,,032
Allen,Jake,33,5,4,0,1," $2,500,000.00 ",77,30.8,No,,,033
Lack,Eddie,8,3,1,0,0," $2,500,000.00 ",20,8,No,,,034
Greiss,Thomas,26,5,3,0,1," $2,000,000.00 ",62,31,No,,,035
Neuvirth,Michal,11,1,0,0,0," $1,750,000.00 ",23,13.1428571428571,No,,,036
Johnson,Chad,18,1,3,0,0," $1,700,000.00 ",40,23.5294117647059,No,,,037
Markstrom,Jacob,10,3,0,0,0," $1,600,000.00 ",23,14.375,No,,,038
Kuemper,Darcy,8,3,0,0,1," $1,550,000.00 ",21,13.5483870967742,No,,,039
Gibson,John,25,9,6,0,1," $1,500,000.00 ",67,44.6666666666667,No,,,040
Berra,Reto,0,0,0,0,0," $1,500,000.00 ",0,0,No,,,041
